country,project,id,year,month,date,site,treatment,plot_id,functional_group,family,name_2020,genus,species,individual_nr,plant_height_cm,nr_leaves,bulk,wet_mass_total_g,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,dry_mass_total_g,number_leaves_scan,leaf_area_total_cm2,wet_mass_g,dry_mass_g,leaf_area_cm2,sla_cm2_g,ldmc,leaf_thickness_ave_mm,area_flag,dry_flag,wet_flag
PE,Puna,ACJ5143,2019,April,2019-04-10,ACJ,C,3,Forb,Asteraceae,Senecio rhizomathus,Senecio,rhizomathus,2,16,1,NA,0.665,0.293,0.265,0.294,0.103,1,18.0565,0.665,0.103,18.0565,175.30582524271844,0.15488721804511277,0.284,NA,NA,NA
PE,Puna,ADA3602,2019,April,2019-04-10,ACJ,C,5,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,2,22,1,NA,0.302,0.481,0.463,0.456,0.143,1,7.1331,0.302,0.143,7.1331,49.88181818181818,0.4735099337748344,0.4666666666666667,NA,NA,NA
PE,Puna,ADB6808,2019,April,2019-04-10,ACJ,C,5,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,1,3,2,NA,2.24,0.461,0.492,0.47,0.093,2,5.5495,1.12,0.0465,2.77475,59.67204301075269,0.04151785714285714,0.47433333333333333,NA,NA,NA
PE,Puna,ADC7605,2019,April,2019-04-10,TRE,C,1,Woody,Ericaceae,Vaccinium floribundum,Vaccinium,floribundum,2,28,6,NA,0.071,0.32,0.33,0.327,0.027,6,2.7623,0.011833333333333333,0.0045,0.46038333333333337,102.30740740740742,0.38028169014084506,0.32566666666666666,NA,NA,NA
PE,Puna,ADE6998,2019,April,2019-04-10,TRE,C,1,Woody,Ericaceae,Vaccinium floribundum,Vaccinium,floribundum,3,16,8,NA,0.095,0.336,0.373,0.383,0.053,8,3.3575,0.011875,0.006625,0.4196875,63.34905660377358,0.5578947368421052,0.364,NA,NA,NA
PE,Puna,ADH3546,2019,April,2019-04-10,TRE,C,1,Woody,Ericaceae,Vaccinium floribundum,Vaccinium,floribundum,1,23,8,NA,0.115,0.507,0.534,0.484,0.06,8,3.0631,0.014375,0.0075,0.3828875,51.05166666666667,0.5217391304347826,0.5083333333333333,NA,NA,NA
PE,Puna,ADJ2129,2019,April,2019-04-10,TRE,C,5,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,3,4,3,NA,0.298,0.418,0.444,0.45,0.131,3,7.7216,0.09933333333333333,0.043666666666666666,2.5738666666666665,58.94351145038168,0.43959731543624164,0.43733333333333335,NA,NA,NA
PE,Puna,ADO1230,2019,April,2019-04-10,TRE,C,1,Forb,Gentianaceae,Gentiana sedifolia,Gentiana,sedifolia,2,11,NA,Bulk,0.012,0.161,0.096,0.152,0.007,10,0.7488,0.0012000000000000001,7e-4,0.07488,106.97142857142858,0.5833333333333333,0.13633333333333333,NA,NA,NA
PE,Puna,ADQ3617,2019,April,2019-04-10,TRE,C,1,Forb,Gentianaceae,Gentiana sedifolia,Gentiana,sedifolia,3,12,NA,Bulk,0.037,0.167,0.178,0.187,0.022,22,2.0226,0.0016818181818181817,0.001,0.09193636363636365,91.93636363636365,0.5945945945945946,0.17733333333333334,NA,NA,NA
PE,Puna,ADS7959,2019,April,2019-04-10,TRE,C,1,Forb,Gentianaceae,Gentiana sedifolia,Gentiana,sedifolia,4,9,NA,Bulk,0.01,0.146,0.101,0.127,0,10,0.5531,0.001,0,0.055310000000000005,Inf,0,0.12466666666666666,NA,NA,NA
