country,project,id,year,month,date,site,treatment,plot_id,functional_group,family,name_2020,genus,species,individual_nr,plant_height_cm,nr_leaves,bulk,wet_mass_total_g,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,dry_mass_total_g,number_leaves_scan,leaf_area_total_cm2,wet_mass_g,dry_mass_g,leaf_area_cm2,sla_cm2_g,ldmc,leaf_thickness_ave_mm,area_flag,dry_flag,wet_flag
PE,PFTC5,AIG2220,2020,March,2020-03-12,ACJ,C,5,Fern,Pteridaceae,Eriosorus cheilanthoides,Eriosorus,cheilanthoides,2,36.7,NA,NA,0.72,0.369,0.407,0.271,0.1657,1,14.787,NA,NA,NA,NA,NA,0.349,NA,NA,NA
PE,PFTC5,AIF7328,2020,March,2020-03-12,ACJ,C,5,Fern,Pteridaceae,Eriosorus cheilanthoides,Eriosorus,cheilanthoides,1,35.3,NA,NA,0.814,0.356,0.297,0.308,0.1965,4,19.624,NA,NA,NA,NA,NA,0.3203333333333333,NA,NA,NA
PE,PFTC5,BIU3645,2020,March,2020-03-12,ACJ,C,4,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,3,10,5,NA,0.067,0.633,0.564,0.47,0.0282,1,1.37,0.0134,0.00564,0.274,48.58156028368795,0.4208955223880597,0.5556666666666666,NA,NA,NA
PE,PFTC5,BIA2849,2020,March,2020-03-12,ACJ,C,4,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,3,10,1,NA,0.172,0.545,0.557,0.603,0.075,1,3.975,0.172,0.075,3.975,53,0.436046511627907,0.5683333333333334,NA,NA,NA
PE,PFTC5,BIQ0144,2020,March,2020-03-12,ACJ,C,3,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,1,19.4,2,NA,0.221,0.569,0.583,0.558,0.098,1,5.24,0.1105,0.049,2.62,53.46938775510204,0.44343891402714936,0.57,NA,NA,NA
PE,PFTC5,BIV5629,2020,March,2020-03-12,ACJ,C,3,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,1,19.4,1,NA,0.245,0.676,0.747,0.645,0.1092,1,5.101,0.245,0.1092,5.101,46.71245421245421,0.44571428571428573,0.6893333333333334,NA,NA,NA
PE,PFTC5,AIH7326,2020,March,2020-03-12,ACJ,C,5,Fern,Pteridaceae,Eriosorus cheilanthoides,Eriosorus,cheilanthoides,3,42,NA,NA,1.001,0.631,0.523,0.337,0.2546,4,14.359,NA,NA,NA,NA,NA,0.497,NA,NA,NA
PE,PFTC5,BHW0704,2020,March,2020-03-12,ACJ,C,3,Woody,Ericaceae,Gaultheria glomerata,Gaultheria,glomerata,2,4.6,2,NA,0.149,0.559,0.54,0.56,0.0656,1,3.869,0.0745,0.0328,1.9345,58.978658536585364,0.440268456375839,0.553,NA,NA,NA
PE,PFTC5,AXA3752,2020,March,2020-03-12,ACJ,C,4,Woody,Ericaceae,Pernettya prostrata,Pernettya,prostrata,2,37,NA,5,0.072,0.561,0.477,0.522,0.0298,7,1.958,NA,NA,NA,NA,NA,0.52,NA,NA,NA
PE,PFTC5,BXN4458,2020,March,2020-03-12,QUE,BB,2,Gramminoid,Cyperaceae,Carex pichinchensis,Carex,pichinchensis,4,10.9,NA,NA,0.13,0.236,0.23,0.195,0.0528,1,6.157,NA,NA,NA,NA,NA,0.22033333333333333,NA,NA,NA
PE,PFTC5,BXB4580,2020,March,2020-03-12,QUE,BB,2,Gramminoid,Cyperaceae,Carex pichinchensis,Carex,pichinchensis,1,10.2,NA,NA,0.116,0.254,0.214,0.239,0.0537,1,6.095,NA,NA,NA,NA,NA,0.23566666666666666,NA,NA,NA
PE,PFTC5,AXS7546,2020,March,2020-03-12,QUE,BB,2,Woody,Ericaceae,Vaccinium floribundum,Vaccinium,floribundum,4,1.8,NA,5,0.042,0.431,0.475,0.417,0.0161,8,1.279,NA,NA,NA,NA,NA,0.441,NA,NA,NA
PE,PFTC5,BXJ8297,2020,March,2020-03-12,QUE,BB,2,Gramminoid,Cyperaceae,Carex pichinchensis,Carex,pichinchensis,3,9.5,NA,NA,0.134,0.254,0.233,0.236,0.0511,5,5.976,NA,NA,NA,NA,NA,0.241,NA,NA,NA
PE,PFTC5,AHF0820,2020,March,2020-03-12,QUE,BB,1,Gramminoid,Poaceae,Poa spicigera,Poa,spicigera,5,5.4,NA,3,0.022,0.268,0.294,0.256,0.0074,3,1.1360000000000001,NA,NA,NA,NA,NA,0.27266666666666667,NA,NA,NA
PE,PFTC5,AIK3112,2020,March,2020-03-12,QUE,BB,4,Gramminoid,Cyperaceae,Rhynchospora macrochaeta,Rhynchospora,macrochaeta,1,13.2,NA,NA,0.141,0.253,0.235,0.196,0.56,1,4.43,NA,NA,NA,NA,NA,0.228,NA,NA,NA
PE,PFTC5,AZC5871,2020,March,2020-03-12,QUE,BB,1,Gramminoid,Poaceae,Poa spicigera,Poa,spicigera,3,6.6,NA,3,0.013,0.195,0.205,0.189,0.0058,3,0.866,NA,NA,NA,NA,NA,0.19633333333333333,NA,NA,NA
PE,PFTC5,AZB8052,2020,March,2020-03-12,QUE,BB,1,Gramminoid,Poaceae,Poa spicigera,Poa,spicigera,2,11.3,NA,3,0.021,0.198,0.159,0.141,0.006,3,1.066,NA,NA,NA,NA,NA,0.166,NA,NA,NA
PE,PFTC5,AJX5756,2020,March,2020-03-12,QUE,BB,1,Forb,Asteraceae,Gamochaeta coarctata,Gamochaeta,coarctata,1,6.5,NA,2,0.041,0.15,0.223,0.234,0.0085,2,1.835,NA,NA,NA,NA,NA,0.20233333333333334,NA,NA,NA
PE,PFTC5,BXW5713,2020,March,2020-03-12,QUE,BB,2,Gramminoid,Poaceae,Festuca sp4,Festuca,sp4,2,19,NA,NA,0.101,0.426,0.47,0.446,0.0419,4,1.831,NA,NA,NA,NA,NA,0.4473333333333333,NA,NA,NA
PE,PFTC5,BXV7981,2020,March,2020-03-12,QUE,BB,2,Gramminoid,Poaceae,Festuca sp4,Festuca,sp4,1,18,NA,NA,0.089,0.665,0.677,0.722,0.0424,5,1.6969999999999998,NA,NA,NA,NA,NA,0.6880000000000001,NA,NA,NA
PE,PFTC5,BXA4854,2020,March,2020-03-12,QUE,BB,2,Gramminoid,Poaceae,Festuca sp4,Festuca,sp4,3,18,NA,NA,0.086,0.587,0.541,0.632,0.0391,4,1.477,NA,NA,NA,NA,NA,0.5866666666666667,NA,NA,NA
PE,PFTC5,AFN3047,2020,March,2020-03-12,QUE,BB,2,Gramminoid,Poaceae,Agrostis trichodes,Agrostis,trichodes,2,5,NA,9,0.029,0.157,0.134,0.127,0.0178,11,2.041,NA,NA,NA,NA,NA,0.13933333333333334,NA,NA,NA
PE,PFTC5,BVC5384,2020,March,2020-03-12,QUE,BB,4,Gramminoid,Poaceae,Anatherostipa hans-meyeri,Anatherostipa,hans-meyeri,1,7,NA,4,0.043,0.29,0.257,0.296,0.0168,4,1.1139999999999999,NA,NA,NA,NA,NA,0.28099999999999997,NA,NA,NA
PE,PFTC5,AZE5327,2020,March,2020-03-12,QUE,BB,2,Forb,Asteraceae,Antennaria linearifolia,Antennaria,linearifolia,1,1,NA,3,0.052,0.186,0.226,0.191,0.0163,7,1.293,NA,NA,NA,NA,NA,0.201,Leaf too white_Area missing,NA,NA
PE,PFTC5,BDL4865,2020,March,2020-03-12,QUE,BB,1,Woody,Asteraceae,Baccharis caespitosa,Baccharis,caespitosa,1,1.3,NA,10,0.019,0.119,0.3,0.248,0.0075,11,0.722,NA,NA,NA,NA,NA,0.22233333333333333,NA,NA,NA
PE,PFTC5,BBU6966,2020,March,2020-03-12,QUE,BB,2,Woody,Asteraceae,Baccharis caespitosa,Baccharis,caespitosa,2,0.7,NA,10,0.017,0.261,0.223,0.263,0.0078,14,0.67,NA,NA,NA,NA,NA,0.249,NA,NA,NA
PE,PFTC5,BJQ7085,2020,March,2020-03-12,QUE,BB,3,Forb,Asteraceae,Aphanactis villosa,Aphanactis,villosa,1,1.1,NA,6,0.15,0.189,0.214,0.165,0.0123,7,3.8569999999999998,NA,NA,NA,NA,NA,0.18933333333333333,NA,NA,NA
PE,PFTC5,BKK5041,2020,March,2020-03-12,QUE,BB,1,Forb,Oxalidaceae,Oxalis oreocharis,Oxalis,oreocharis,3,4,NA,3,0.062,0.244,0.266,0.236,0.0085,5,1.578,NA,NA,NA,NA,NA,0.24866666666666667,NA,NA,NA
PE,PFTC5,AIS5021,2020,March,2020-03-12,QUE,BB,1,Forb,Oxalidaceae,Oxalis oreocharis,Oxalis,oreocharis,2,5,NA,3,0.046,0.204,0.204,0.194,0.072,4,1.203,NA,NA,NA,NA,NA,0.20066666666666666,NA,NA,NA
PE,PFTC5,BUI3314,2020,March,2020-03-12,QUE,BB,1,Gramminoid,Juncaceae,Luzula racemosa,Luzula,racemosa,2,7.8,NA,3,0.07,0.239,0.264,0.258,0.0252,3,0.855,NA,NA,NA,NA,NA,0.25366666666666665,NA,NA,NA
PE,PFTC5,BVH0912,2020,March,2020-03-12,QUE,BB,1,Gramminoid,Poaceae,Agrostis foliata,Agrostis,foliata,2,10,NA,2,0.023,0.184,0.209,0.163,0.0084,2,1.913,NA,NA,NA,NA,NA,0.18533333333333332,NA,NA,NA
PE,PFTC5,BVD4631,2020,March,2020-03-12,QUE,BB,1,Gramminoid,Poaceae,Agrostis foliata,Agrostis,foliata,3,12,NA,NA,0.018,0.153,0.164,0.151,0.0059,1,1.615,NA,NA,NA,NA,NA,0.156,NA,NA,NA
PE,PFTC5,ABF2214,2020,March,2020-03-12,ACJ,C,3,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,2,8.8,5,NA,0.069,0.297,0.304,0.315,0.0143,1,2.294,0.013800000000000002,0.00286,0.4588,160.4195804195804,0.2072463768115942,0.30533333333333335,NA,NA,NA
PE,PFTC5,AVR0480,2020,March,2020-03-12,ACJ,C,4,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,2,2,4,NA,0.12,0.266,0.263,NA,0.037,2,3.106,0.03,0.00925,0.7765,83.94594594594595,0.30833333333333335,0.2645,NA,NA,NA
PE,PFTC5,ACY7408,2020,March,2020-03-12,ACJ,C,4,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,2,2,2,NA,0.15,0.308,0.324,0.299,0.0465,1,3.602,0.075,0.02325,1.801,77.46236559139784,0.31,0.31033333333333335,NA,NA,NA
PE,PFTC5,ATI0785,2020,March,2020-03-12,ACJ,C,2,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,3,3,4,NA,0.064,0.294,0.253,NA,0.0224,4,1.393,0.016,0.0056,0.34825,62.1875,0.35,0.27349999999999997,NA,NA,NA
PE,PFTC5,AED4690,2020,March,2020-03-12,ACJ,C,2,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,3,5.3,2,NA,0.042,0.282,0.292,0.255,0.011,1,1.231,0.021,0.0055,0.6155,111.90909090909092,0.26190476190476186,0.2763333333333333,NA,NA,NA
PE,PFTC5,ACB4434,2020,March,2020-03-12,ACJ,C,2,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,3,5.3,1,NA,0.033,0.271,0.289,0.301,0.088,2,1.014,0.033,0.088,1.014,11.522727272727273,2.6666666666666665,0.287,NA,NA,NA
PE,PFTC5,AUI4797,2020,March,2020-03-12,ACJ,C,5,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,2,9,2,NA,0.218,0.342,0.277,0.252,0.0543,4,5.037,0.109,0.02715,2.5185,92.76243093922652,0.24908256880733945,0.29033333333333333,NA,NA,NA
PE,PFTC5,AHB7381,2020,March,2020-03-12,ACJ,C,4,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,1,9,1,NA,0.045,0.259,0.252,0.227,0.0097,1,1.86,0.045,0.0097,1.86,191.75257731958763,0.21555555555555558,0.246,NA,NA,NA
PE,PFTC5,AUK0888,2020,March,2020-03-12,ACJ,C,5,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,2,9,4,NA,0.189,0.348,0.303,0.332,0.0489,3,4.771,0.04725,0.012225,1.19275,97.56646216768917,0.2587301587301587,0.32766666666666666,NA,NA,NA
PE,PFTC5,ADD1710,2020,March,2020-03-12,ACJ,C,4,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,1,9,2,NA,0.065,0.239,0.236,0.223,0.0147,1,1.914,0.0325,0.00735,0.957,130.20408163265307,0.22615384615384615,0.23266666666666666,NA,NA,NA
PE,PFTC5,AUJ3901,2020,March,2020-03-12,ACJ,C,5,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,2,9,5,NA,0.222,0.27,0.292,0.313,0.0554,3,4.462,0.0444,0.01108,0.8924,80.54151624548736,0.24954954954954953,0.2916666666666667,NA,NA,NA
PE,PFTC5,AVD9454,2020,March,2020-03-12,ACJ,C,4,Fern,Dryopteridaceae,Elaphoglossum huacsaro,Elaphoglossum,huacsaro,3,17,1,NA,0.46,0.463,0.46,0.467,0.1686,1,9.392,0.46,0.1686,9.392,55.705812574139976,0.3665217391304348,0.4633333333333334,NA,NA,NA
PE,PFTC5,ADG5889,2020,March,2020-03-12,ACJ,C,2,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,1,6.5,2,NA,0.13,0.308,0.296,0.317,0.0527,1,4.072,0.065,0.02635,2.036,77.2675521821632,0.40538461538461534,0.307,NA,NA,NA
PE,PFTC5,AWE4726,2020,March,2020-03-12,ACJ,C,4,Fern,Dryopteridaceae,Elaphoglossum huacsaro,Elaphoglossum,huacsaro,2,18,1,NA,0.656,0.401,0.476,0.456,0.2094,1,12.472,0.656,0.2094,12.472,59.56064947468958,0.31920731707317074,0.44433333333333336,NA,NA,NA
PE,PFTC5,ADH8686,2020,March,2020-03-12,ACJ,C,2,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,1,6.5,3,NA,0.167,0.313,0.309,0.298,0.055,1,5.298,0.05566666666666667,0.018333333333333333,1.766,96.32727272727273,0.32934131736526945,0.30666666666666664,NA,NA,NA
PE,PFTC5,AAQ9095,2020,March,2020-03-12,ACJ,C,2,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,1,22.5,5,NA,0.034,0.162,0.195,0.2,0.0089,1,1.286,0.0068000000000000005,0.00178,0.2572,144.4943820224719,0.2617647058823529,0.18566666666666667,NA,NA,NA
