ID,LeafArea
BKW1860.jpeg.txt.Area4,0.24
BKW1860.jpeg.txt.Area5,0.481
BKW1860.jpeg.txt.Area6,0.006
BKX7899.jpeg.txt.Area1,0.453
BKX7899.jpeg.txt.Area2,0.457
BKX7899.jpeg.txt.Area3,0.5
BKX7899.jpeg.txt.Area4,0.451
BKX7899.jpeg.txt.Area5,0.177
BUS1756.jpeg.txt.Area,1.962
BUW5591.jpeg.txt.Area1,2.53
BUW5591.jpeg.txt.Area2,0.006
BVA6015.jpeg.txt.Area1,0.415
BVA6015.jpeg.txt.Area2,0.39
BVA6015.jpeg.txt.Area3,0.408
BVA6015.jpeg.txt.Area4,0.427
BVA6015.jpeg.txt.Area5,0.343
BVE8215.jpeg.txt.Area1,0.445
BVE8215.jpeg.txt.Area2,0.297
BVE8215.jpeg.txt.Area3,0.139
BVE8215.jpeg.txt.Area4,0.511
BVE8215.jpeg.txt.Area5,0.399
BWG3149.jpeg.txt.Area1,0.647
BWG3149.jpeg.txt.Area2,0.005
BXY8812.jpeg.txt.Area,4.69
BXZ2875.jpeg.txt.Area,1.273
BYA3359.jpeg.txt.Area,0.853
BYB6857.jpeg.txt.Area,0.914
BYC0095.jpeg.txt.Area1,1.858
BYC0095.jpeg.txt.Area2,0.011
BYD4418.jpeg.txt.Area,1.934
BYE5193.jpeg.txt.Area1,1.857
BYE5193.jpeg.txt.Area2,0.013
BYF6086.jpeg.txt.Area1,0.007
BYF6086.jpeg.txt.Area2,2.18
BYG7871.jpeg.txt.Area1,1.292
BYG7871.jpeg.txt.Area2,0.005
BYH1355.jpeg.txt.Area,4.187
BYI3448.jpeg.txt.Area,2.338
BYJ7104.jpeg.txt.Area,2.879
BYK7047.jpeg.txt.Area,2.533
BYL4944.jpeg.txt.Area,2.975
BYM2497.jpeg.txt.Area,2.954
BYN1146.jpeg.txt.Area,2.445
BYO7151.jpeg.txt.Area,4.01
BYP4529.jpeg.txt.Area1,3.78
BYP4529.jpeg.txt.Area2,0.025
BYQ5420.jpeg.txt.Area,3.93
BYR4663.jpeg.txt.Area1,3.101
BYR4663.jpeg.txt.Area2,0.024
BYS5952.jpeg.txt.Area,0.9
BYT6687.jpeg.txt.Area,1.083
BYU2871.jpeg.txt.Area,0.925
BYV2133.jpeg.txt.Area,1.074
BYW5762.jpeg.txt.Area1,1.226
BYW5762.jpeg.txt.Area2,2.09
BYW5762.jpeg.txt.Area3,1.559
BYX7069.jpeg.txt.Area1,2.058
BYX7069.jpeg.txt.Area2,0.006
BYY5473.jpeg.txt.Area,1.161
BYZ3594.jpeg.txt.Area,1.152
BZA2704.jpeg.txt.Area,2.201
BZB2183.jpeg.txt.Area,1.297
BZC3039.jpeg.txt.Area1,3.048
BZC3039.jpeg.txt.Area2,0.007
BZC3039.jpeg.txt.Area3,0.01
BZD4421.jpeg.txt.Area1,3.487
BZD4421.jpeg.txt.Area2,0.009
BZD4421.jpeg.txt.Area3,0.008
BZE9472.jpeg.txt.Area,3.752
BZF1621.jpeg.txt.Area,1.28
BZG3800.jpeg.txt.Area1,0.025
BZG3800.jpeg.txt.Area2,0.007
BZG3800.jpeg.txt.Area3,1.595
BZG3800.jpeg.txt.Area4,0.007
BZG3800.jpeg.txt.Area5,0.803
CAJ1115.jpeg.txt.Area,2.032
CAK1264.jpeg.txt.Area,2.047
CAM2696.jpeg.txt.Area,1.659
CAN8696.jpeg.txt.Area,3.98
CAO8524.jpeg.txt.Area1,3.43
CAO8524.jpeg.txt.Area2,0.006
CAO8524.jpeg.txt.Area3,0.009
CAP2035.jpeg.txt.Area1,2.102
CAP2035.jpeg.txt.Area2,0.005
CAQ2968.jpeg.txt.Area1,0.013
CAQ2968.jpeg.txt.Area2,1.464
CAQ2968.jpeg.txt.Area3,1.15
CAQ2968.jpeg.txt.Area4,0.006
CAR3559.jpeg.txt.Area1,1.152
CAR3559.jpeg.txt.Area2,0.804
CAR3559.jpeg.txt.Area3,0.579
CAR3559.jpeg.txt.Area4,0.012
CAS0411.jpeg.txt.Area1,0.005
CAS0411.jpeg.txt.Area2,3.713
CAU3244.jpeg.txt.Area1,0.006
CAU3244.jpeg.txt.Area2,2.225
CAV0380.jpeg.txt.Area,1.674
CAW9605.jpeg.txt.Area,4.383
CAX0310.jpeg.txt.Area1,0.019
CAX0310.jpeg.txt.Area2,0.015
CAX0310.jpeg.txt.Area3,0.011
CAX0310.jpeg.txt.Area4,0.017
CAX0310.jpeg.txt.Area5,0.029
CAX0310.jpeg.txt.Area6,0.012
CAX0310.jpeg.txt.Area7,0.033
CAX0310.jpeg.txt.Area8,0.006
CAX0310.jpeg.txt.Area9,0.016
CAX0310.jpeg.txt.Area10,0.009
CAX0310.jpeg.txt.Area11,0.008
CAX0310.jpeg.txt.Area12,0.021
CAX0310.jpeg.txt.Area13,0.022
CAX0310.jpeg.txt.Area14,0.012
CAX0310.jpeg.txt.Area15,0.014
CAX0310.jpeg.txt.Area16,0.015
CAX0310.jpeg.txt.Area17,0.015
CAX0310.jpeg.txt.Area18,0.024
CAX0310.jpeg.txt.Area19,0.022
CAX0310.jpeg.txt.Area20,0.025
CAX0310.jpeg.txt.Area21,0.013
CAX0310.jpeg.txt.Area22,0.025
CAX0310.jpeg.txt.Area23,0.02
CAX0310.jpeg.txt.Area24,0.02
CAX0310.jpeg.txt.Area25,0.009
CAX0310.jpeg.txt.Area26,0.021
CAX0310.jpeg.txt.Area27,0.019
CAX0310.jpeg.txt.Area28,0.006
CAX0310.jpeg.txt.Area29,0.051
CAX0310.jpeg.txt.Area30,0.022
CAX0310.jpeg.txt.Area31,0.016
CAX0310.jpeg.txt.Area32,0.032
CAX0310.jpeg.txt.Area33,0.017
CAX0310.jpeg.txt.Area34,0.029
CAX0310.jpeg.txt.Area35,0.02
CAX0310.jpeg.txt.Area36,0.021
CAX0310.jpeg.txt.Area37,0.029
CAX0310.jpeg.txt.Area38,0.011
CAX0310.jpeg.txt.Area39,0.014
CAX0310.jpeg.txt.Area40,0.024
CAX0310.jpeg.txt.Area41,0.027
CAX0310.jpeg.txt.Area42,0.021
CAX0310.jpeg.txt.Area43,0.03
CAX0310.jpeg.txt.Area44,0.007
CAX0310.jpeg.txt.Area45,0.016
CAX0310.jpeg.txt.Area46,0.009
CAX0310.jpeg.txt.Area47,0.012
CAX0310.jpeg.txt.Area48,0.013
CAX0310.jpeg.txt.Area49,0.013
CAX0310.jpeg.txt.Area50,0.032
CAX0310.jpeg.txt.Area51,0.028
CAX0310.jpeg.txt.Area52,0.019
CAX0310.jpeg.txt.Area53,0.017
CAX0310.jpeg.txt.Area54,0.016
CAX0310.jpeg.txt.Area55,0.029
CAX0310.jpeg.txt.Area56,0.007
CAX0310.jpeg.txt.Area57,0.023
CAX0310.jpeg.txt.Area58,0.028
CAX0310.jpeg.txt.Area59,0.028
CAX0310.jpeg.txt.Area60,0.02
CAX0310.jpeg.txt.Area61,0.019
CAX0310.jpeg.txt.Area62,0.015
CAX0310.jpeg.txt.Area63,0.023
CAX0310.jpeg.txt.Area64,0.015
CAX0310.jpeg.txt.Area65,0.017
CAX0310.jpeg.txt.Area66,0.03
CAX0310.jpeg.txt.Area67,0.013
CAX0310.jpeg.txt.Area68,0.03
CAX0310.jpeg.txt.Area69,0.028
CAX0310.jpeg.txt.Area70,0.044
CAY6622.jpeg.txt.Area,2.173
CBP0312.jpeg.txt.Area,1.661
CBQ3609.jpeg.txt.Area,1.545
CBR2154.jpeg.txt.Area,1.743
CBS1181.jpeg.txt.Area,1.053
CBT1214.jpeg.txt.Area,1.039
CBU6632.jpeg.txt.Area1,9.518
CBU6632.jpeg.txt.Area2,7.623
CBV2923.jpeg.txt.Area1,0.549
CBV2923.jpeg.txt.Area2,0.608
CBV2923.jpeg.txt.Area3,0.5
CBV2923.jpeg.txt.Area4,0.626
CBV2923.jpeg.txt.Area5,0.609
CBX5338.jpeg.txt.Area,1.521
CBY1745.jpeg.txt.Area1,7.024
CBY1745.jpeg.txt.Area2,0.011
CBY1745.jpeg.txt.Area3,9.522
CBY1745.jpeg.txt.Area4,0.024
CBY1745.jpeg.txt.Area5,0.007
CBZ1867.jpeg.txt.Area,4.168
CCB3507.jpeg.txt.Area,1.518
CCC9000.jpeg.txt.Area1,6.205
CCC9000.jpeg.txt.Area2,8.339
CCC9000.jpeg.txt.Area3,2.312
CCC9000.jpeg.txt.Area4,0.005
CCC9000.jpeg.txt.Area5,0.009
CCD3127.jpeg.txt.Area1,0.537
CCD3127.jpeg.txt.Area2,0.512
CCD3127.jpeg.txt.Area3,0.499
CCD3127.jpeg.txt.Area4,0.474
CCD3127.jpeg.txt.Area5,0.482
CCE3930.jpeg.txt.Area,0.8
CCF5239.jpeg.txt.Area,0.951
CCG8293.jpeg.txt.Area,1.739
CCH3517.jpeg.txt.Area,3.054
CCI4859.jpeg.txt.Area,0.921
CCJ0794.jpeg.txt.Area,1.145
CCK5600.jpeg.txt.Area,1.079
CCL3743.jpeg.txt.Area,2.254
CCM6658.jpeg.txt.Area,0.81
CCN4679.jpeg.txt.Area,1.562
CCO2481.jpeg.txt.Area,1.539
CCP1146.jpeg.txt.Area,2.161
CCR6812.jpeg.txt.Area,1.042
CCS1695.jpeg.txt.Area,1.454
CCT1928.jpeg.txt.Area,3.752
CCU7002.jpeg.txt.Area,0.833
CCV5947.jpeg.txt.Area,1.163
CCX3225.jpeg.txt.Area,4.063
CCY0294.jpeg.txt.Area,1.863
CCZ6387.jpeg.txt.Area,2.159
CDD1775.jpeg.txt.Area,1.873
CDF2200.jpeg.txt.Area,3.3
CDG8261.jpeg.txt.Area,1.942
CDH1159.jpeg.txt.Area,1.729
CDP3189.jpeg.txt.Area,5.091
CDQ3517.jpeg.txt.Area,1.557
CDR9450.jpeg.txt.Area1,0.008
CDR9450.jpeg.txt.Area2,3.383
CDR9450.jpeg.txt.Area3,0.005
CDS3004.jpeg.txt.Area1,0.008
CDS3004.jpeg.txt.Area2,1.436
CDS3004.jpeg.txt.Area3,2.971
CDS3004.jpeg.txt.Area4,0.007
CDS3004.jpeg.txt.Area5,0.005
CDT7728.jpeg.txt.Area,9.392
CDU6030.jpeg.txt.Area,3.711
CEA4386.jpeg.txt.Area1,3.509
CEA4386.jpeg.txt.Area2,0.007
CEB0998.jpeg.txt.Area1,6.036
CEB0998.jpeg.txt.Area2,0.006
CEB0998.jpeg.txt.Area3,0.005
CEB0998.jpeg.txt.Area4,0.006
CEB0998.jpeg.txt.Area5,0.006
CEC4306.jpeg.txt.Area1,3.119
CEC4306.jpeg.txt.Area2,0.006
CEE0397.jpeg.txt.Area1,4.462
CEE0397.jpeg.txt.Area2,0.007
CEF2052.jpeg.txt.Area1,2.528
CEF2052.jpeg.txt.Area2,0.006
CEG5424.jpeg.txt.Area,2.709
CEK1352.jpeg.txt.Area,2.971
CEO9105.jpeg.txt.Area,3.054
CEP4593.jpeg.txt.Area1,3.517
CEP4593.jpeg.txt.Area2,0.024
CES5935.jpeg.txt.Area,2.932
CET3376.jpeg.txt.Area,3.948
CEW2172.jpeg.txt.Area,2.225
CEX5438.jpeg.txt.Area1,3.69
CEX5438.jpeg.txt.Area2,0.007
CEX5438.jpeg.txt.Area3,0.006
CEY7459.jpeg.txt.Area1,2.912
CEY7459.jpeg.txt.Area2,0.008
CFA7659.jpeg.txt.Area,1.925
CFB5184.jpeg.txt.Area1,0.153
CFB5184.jpeg.txt.Area2,4.242
CFC1000.jpeg.txt.Area,2.659
CFE2595.jpeg.txt.Area,7.479
CFF6243.jpeg.txt.Area1,2.983
CFF6243.jpeg.txt.Area2,0.006
CFG0732.jpeg.txt.Area1,0.006
CFG0732.jpeg.txt.Area2,0.008
CFG0732.jpeg.txt.Area3,0.019
CFG0732.jpeg.txt.Area4,0.013
CFG0732.jpeg.txt.Area5,2.724
CFJ2489.jpeg.txt.Area,5.185
CFK2286.jpeg.txt.Area1,2.894
CFK2286.jpeg.txt.Area2,0.012
CFK2286.jpeg.txt.Area3,0.01
CFN6705.jpeg.txt.Area,8.042
CFO5860.jpeg.txt.Area1,5.018
CFO5860.jpeg.txt.Area2,0.005
CFR1930.jpeg.txt.Area1,6.378
CFR1930.jpeg.txt.Area2,8.818
CFR1930.jpeg.txt.Area3,0.008
CFS9609.jpeg.txt.Area1,4.503
CFS9609.jpeg.txt.Area2,0.005
CFV4255.jpeg.txt.Area1,5.302
CFV4255.jpeg.txt.Area2,0.03
CFV4255.jpeg.txt.Area3,3.178
CFV4255.jpeg.txt.Area4,0.013
CFV4255.jpeg.txt.Area5,6.232
CFW3700.jpeg.txt.Area1,4.282
CFW3700.jpeg.txt.Area2,0.006
CGA3269.jpeg.txt.Area1,4.1
CGA3269.jpeg.txt.Area2,0.006
CGG4799.jpeg.txt.Area,2.689
CGH8872.jpeg.txt.Area1,4.777
CGH8872.jpeg.txt.Area2,6.367
CGK0647.jpeg.txt.Area1,5.905
CGK0647.jpeg.txt.Area2,0.01
CGK0647.jpeg.txt.Area3,8.27
CGL9029.jpeg.txt.Area,7.87
CGO3308.jpeg.txt.Area1,5.578
CGO3308.jpeg.txt.Area2,10.697
CGP0623.jpeg.txt.Area1,8.925
CGP0623.jpeg.txt.Area2,0.019
CGS6519.jpeg.txt.Area1,5.364
CGS6519.jpeg.txt.Area2,6.823
CGT6536.jpeg.txt.Area,11.12
CGW0865.jpeg.txt.Area1,4.761
CGW0865.jpeg.txt.Area2,8.195
CGX6443.jpeg.txt.Area1,11.107
CGX6443.jpeg.txt.Area2,0.016
CHA4858.jpeg.txt.Area1,5.506
CHA4858.jpeg.txt.Area2,5.45
CHB6398.jpeg.txt.Area1,0.006
CHB6398.jpeg.txt.Area2,12.54
CHB6398.jpeg.txt.Area3,0.034
CHC8847.jpeg.txt.Area1,0.517
CHC8847.jpeg.txt.Area2,0.526
CHC8847.jpeg.txt.Area3,0.475
CHC8847.jpeg.txt.Area4,0.348
CHC8847.jpeg.txt.Area5,0.599
CHD5918.jpeg.txt.Area1,0.523
CHD5918.jpeg.txt.Area2,0.63
CHD5918.jpeg.txt.Area3,0.512
CHD5918.jpeg.txt.Area4,0.616
CHD5918.jpeg.txt.Area5,0.646
CHE2338.jpeg.txt.Area1,0.51
CHE2338.jpeg.txt.Area2,0.339
CHE2338.jpeg.txt.Area3,0.6
CHE2338.jpeg.txt.Area4,0.396
CHE2338.jpeg.txt.Area5,0.409
CHF2877.jpeg.txt.Area1,0.515
CHF2877.jpeg.txt.Area2,0.391
CHF2877.jpeg.txt.Area3,0.562
CHF2877.jpeg.txt.Area4,0.48
CHF2877.jpeg.txt.Area5,0.509
CHG9792.jpeg.txt.Area1,0.631
CHG9792.jpeg.txt.Area2,0.58
CHG9792.jpeg.txt.Area3,0.588
CHG9792.jpeg.txt.Area4,0.601
CHG9792.jpeg.txt.Area5,0.632
CHI1884.jpeg.txt.Area1,0.553
CHI1884.jpeg.txt.Area2,0.629
CHI1884.jpeg.txt.Area3,0.582
CHI1884.jpeg.txt.Area4,0.594
CHI1884.jpeg.txt.Area5,0.673
CHJ1270.jpeg.txt.Area1,0.668
CHJ1270.jpeg.txt.Area2,0.736
CHJ1270.jpeg.txt.Area3,0.671
CHJ1270.jpeg.txt.Area4,0.612
CHJ1270.jpeg.txt.Area5,0.487
CHL4896.jpeg.txt.Area,3.388
CHM7527.jpeg.txt.Area1,3.315
CHM7527.jpeg.txt.Area2,0.011
CHM7527.jpeg.txt.Area3,0.008
CHN9315.jpeg.txt.Area1,0.707
CHN9315.jpeg.txt.Area2,0.708
CHN9315.jpeg.txt.Area3,0.717
CHN9315.jpeg.txt.Area4,0.453
CHN9315.jpeg.txt.Area5,0.7
CHP4964.jpeg.txt.Area,8.99
CHQ3814.jpeg.txt.Area1,1.852
CHQ3814.jpeg.txt.Area2,0.012
CHQ3814.jpeg.txt.Area3,0.008
CHR0371.jpeg.txt.Area1,0.744
CHR0371.jpeg.txt.Area2,0.463
CHR0371.jpeg.txt.Area3,0.706
CHR0371.jpeg.txt.Area4,0.696
CHR0371.jpeg.txt.Area5,0.689
CHT3424.jpeg.txt.Area,2.81
CHU2037.jpeg.txt.Area1,3.027
CHU2037.jpeg.txt.Area2,0.007
CHU2037.jpeg.txt.Area3,0.007
CHV5788.jpeg.txt.Area1,0.521
CHV5788.jpeg.txt.Area2,0.621
CHV5788.jpeg.txt.Area3,0.735
CHV5788.jpeg.txt.Area4,0.391
CHV5788.jpeg.txt.Area5,0.712
CHX5000.jpeg.txt.Area,2.154
CHY1829.jpeg.txt.Area1,3.095
CHY1829.jpeg.txt.Area2,0.01
CHY1829.jpeg.txt.Area3,0.008
CIB6662.jpeg.txt.Area,3.344
CIC5733.jpeg.txt.Area1,0.492
CIC5733.jpeg.txt.Area2,0.695
CIC5733.jpeg.txt.Area3,0.619
CIC5733.jpeg.txt.Area4,0.373
CIC5733.jpeg.txt.Area5,0.514
CIF6978.jpeg.txt.Area,2.969
CIG8658.jpeg.txt.Area1,0.673
CIG8658.jpeg.txt.Area2,0.369
CIG8658.jpeg.txt.Area3,0.682
CIG8658.jpeg.txt.Area4,0.494
CIG8658.jpeg.txt.Area5,0.515
CIJ0687.jpeg.txt.Area,3.295
CIK0884.jpeg.txt.Area,4.095
CIO0938.jpeg.txt.Area,4.107
CIP5336.jpeg.txt.Area,2.351
CIS0953.jpeg.txt.Area,5.009
CIT7207.jpeg.txt.Area1,4.909
CIT7207.jpeg.txt.Area2,0.007
CIT7207.jpeg.txt.Area3,0.008
CIU1102.jpeg.txt.Area1,0.638
CIU1102.jpeg.txt.Area2,0.657
