id,year,date,month,site,treatment,plot_id,taxon,plant_height_cm,individual_nr,nr_leaves,bulk,wet_mass_total_g,dry_mass_total_g,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,leaf_area_total_cm2,number_leaves_scan
GJE9287,2019,2019-04-19T00:00:00Z,April,TRE,B,3,Carex pichinchensis,25,1,1,"NA",0.303,0.108,0.245,0.212,0.223,12.0945,1
GJF4654,2019,2019-04-19T00:00:00Z,April,TRE,B,3,Carex pichinchensis,17,5,1,"NA",0.16,0.065,0.161,0.223,0.218,7.7427,1
GJG2311,2019,2019-04-17T00:00:00Z,April,TRE,B,3,Carex pichinchensis,19,2,1,"NA",0.206,0.082,0.192,0.187,0.189,7.1507,1
ITS7492,2019,2019-11-24T00:00:00Z,November,TRE,B,3,Carex pichinchensis,23,2,1,"NA",0.17,0.073,0.303,0.283,0.253,7.8837,NA
GJI6070,2019,2019-04-20T00:00:00Z,April,QUE,C,1,Gentiana sedifolia,5,4,NA,Bulk,0.025,0.01,0.237,0.189,0.242,1.0105,13
GJJ5037,2019,2019-04-20T00:00:00Z,April,QUE,C,1,Gentiana sedifolia,4.5,5,NA,Bulk,0.026,0.013,0.243,0.238,0.264,1.2369,14
GJK4577,2019,2019-04-18T00:00:00Z,April,TRE,B,3,Luzula wide,10,2,1,"NA",0.084,0.03,0.192,0.168,0.22,2.8467,1
GJL3287,2019,2019-04-18T00:00:00Z,April,TRE,B,3,Luzula wide,10,1,1,"NA",0.103,0.035,0.283,0.26,0.251,4.0305,1
GJM7341,2019,2019-04-18T00:00:00Z,April,TRE,B,3,Luzula wide,7,3,1,"NA",0.07,0.028,0.25,0.233,0.22,2.5125,1
GJN8872,2019,2019-04-18T00:00:00Z,April,TRE,B,3,Luzula wide,11.5,4,1,"NA",0.168,0.058,0.277,0.258,0.248,5.125,1
GJP6528,2019,2019-04-18T00:00:00Z,April,TRE,B,5,Festuca blue,40,1,1,"NA",0.232,0.196,0.336,0.359,0.391,8.7198,1
GJQ1427,2019,2019-04-18T00:00:00Z,April,TRE,B,3,Alchemilla sectada,15,3,5,"NA",0.021,0.016,0.25,0.258,0.204,1.208,5
GJR2792,2019,2019-04-18T00:00:00Z,April,TRE,B,5,Festuca blue,34,2,1,"NA",0.144,0.06,0.281,0.31,0.34,6.0155,1
GJS0180,2019,2019-04-18T00:00:00Z,April,TRE,B,3,Alchemilla sectada,1.5,4,5,"NA",0.017,0.016,0.281,0.266,0.173,1.1656,5
GJT3494,2019,2019-04-18T00:00:00Z,April,TRE,B,2,Carex ecuadorica,12,1,1,"NA",0.34,0.012,0.206,0.202,0.215,2.1301,1
GJU5073,2019,2019-04-18T00:00:00Z,April,TRE,B,3,Alchemilla sectada,1,5,5,"NA",0.024,0.011,0.151,0.287,0.197,1.0704,6
JAO2150,2019,2019-11-24T00:00:00Z,November,TRE,B,3,Carex pichinchensis,17,3,1,"NA",0.153,0.066,0.335,0.343,0.233,5.6229,NA
JAU8176,2019,2019-11-24T00:00:00Z,November,TRE,B,3,Carex pichinchensis,30,1,1,"NA",0.249,0.117,0.349,0.326,0.283,10.435,1
GKR3784,2019,2019-04-19T00:00:00Z,April,QUE,B,4,Carex pichinchensis,13,1,1,"NA",0.171,0.073,0.222,0.22,0.253,7.5313,1
GKT6667,2019,2019-04-19T00:00:00Z,April,QUE,B,4,Carex pichinchensis,15,2,1,"NA",0.289,0.106,0.225,0.234,0.264,10.6834,1
GKA4101,2019,2019-04-18T00:00:00Z,April,TRE,B,3,Antennaria linearifolia,1.5,1,5,"NA",0.105,0.017,0.085,0.092,0.067,4.2994,5
GKB5224,2019,2019-04-18T00:00:00Z,April,TRE,B,3,Alchemilla sectada,1.5,2,7,"NA",0.013,0.008,0.101,0.169,0.168,1.0215,7
GKD9978,2019,2019-04-20T00:00:00Z,April,QUE,C,1,Viola pygmaea,4,3,5,"NA",0.153,0.04,0.388,0.391,0.343,3.6142,5
GKE3703,2019,2019-04-20T00:00:00Z,April,QUE,C,1,Viola pygmaea,5.5,5,5,"NA",0.158,0.042,0.332,0.369,0.39,3.8234,5
GKF2244,2019,2019-04-18T00:00:00Z,April,TRE,B,5,Rhynchospora macrochaeta,28,1,1,"NA",0.268,0.116,0.299,0.31,0.311,9.3743,1
GKG4740,2019,2019-04-20T00:00:00Z,April,QUE,C,1,Viola pygmaea,5,4,5,"NA",0.199,0.053,0.391,0.382,0.321,4.8019,5
GKH6579,2019,2019-04-19T00:00:00Z,April,TRE,B,5,Antennaria linearifolia,0.7,5,5,"NA",0.008,0,0.112,0.1,0.089,1.1769,5
GKI5483,2019,2019-04-18T00:00:00Z,April,TRE,B,5,Rhynchospora macrochaeta,26,3,1,"NA",0.295,0.127,0.299,0.244,0.303,10.0254,1
GKK6303,2019,2019-04-19T00:00:00Z,April,TRE,B,4,Antennaria linearifolia,1,4,5,"NA",0.03,0.005,0.161,0.121,0.101,1.522,5
GKL7986,2019,2019-04-19T00:00:00Z,April,TRE,B,4,Antennaria linearifolia,1.3,2,5,"NA",0.064,0.011,0.2,0.171,0.199,3.2057,5
GKN3887,2019,2019-04-19T00:00:00Z,April,TRE,B,4,Antennaria linearifolia,1.5,3,5,"NA",0.141,0.02,0.211,0.196,0.212,6.1603,5
GKO0924,2019,2019-04-20T00:00:00Z,April,QUE,C,1,Gentiana sedifolia,6,1,NA,Bulk,0.023,0.013,0.202,0.223,0.21,1.351,17
GKP0358,2019,2019-04-19T00:00:00Z,April,TRE,B,4,Antennaria linearifolia,1,5,5,"NA",0.053,0.009,0.212,0.199,0.226,2.7692,5
GKU5222,2019,2019-04-19T00:00:00Z,April,QUE,B,4,Carex pichinchensis,13,5,1,"NA",0.202,0.071,0.251,0.26,0.241,6.9407,1
GKS6183,2019,2019-04-19T00:00:00Z,April,TRE,B,4,Antennaria linearifolia,1.5,1,5,"NA",0.041,0.01,0.22,0.135,0.203,2.4645,5
GKV3371,2019,2019-04-19T00:00:00Z,April,QUE,B,4,Carex pichinchensis,12,3,1,"NA",0.136,0.055,0.241,0.207,0.189,5.7548,1
GKW6903,2019,2019-04-19T00:00:00Z,April,QUE,B,4,Carex pichinchensis,9,4,1,"NA",0.087,0.031,0.208,0.181,0.204,3.825,1
GLC3887,2019,2019-04-19T00:00:00Z,April,TRE,B,4,Carex tristicha,4.5,5,3,"NA",0.068,0.031,0.198,0.21,0.21,4.3702,3
GHZ9487,2019,2019-04-18T00:00:00Z,April,QUE,B,5,Carex pichinchensis,18,2,1,"NA",0.254,0.088,0.201,0.197,0.193,9.6882,1
GKY2521,2019,2019-04-18T00:00:00Z,April,QUE,C,4,Poa purpurea,15,5,3,"NA",0.231,0.083,0.086,0.139,0.166,9.1985,3
GKZ5769,2019,2019-04-18T00:00:00Z,April,QUE,C,5,Poa purpurea,17,2,5,"NA",0.119,0.039,0.176,0.233,0.212,4.2755,5
FNO1889,2019,2019-04-19T00:00:00Z,April,TRE,B,3,Carex tristicha,4,2,3,"NA",0.085,0.027,0.183,0.205,0.165,3.5988,3
GEN2256,2019,2019-04-19T00:00:00Z,April,TRE,B,3,Carex tristicha,3.5,5,3,"NA",0.053,0.019,0.168,0.158,0.16,2.4462,3
GIA2562,2019,2019-04-18T00:00:00Z,April,QUE,B,5,Carex pichinchensis,18,3,1,"NA",0.21,0.081,0.219,0.228,0.215,8.7519,1
GPB5183,2019,2019-04-19T00:00:00Z,April,TRE,B,3,Carex tristicha,3.5,3,3,"NA",0.066,0.031,0.17,0.155,0.165,4.3624,3
GLF3397,2019,2019-04-16T00:00:00Z,April,WAY,B,5,Eriosorus cheilanthoides,25,4,1,"NA",0.506,0.147,0.55,0.624,0.697,9.2622,1
GLG1137,2019,2019-04-17T00:00:00Z,April,PIL,B,2,Luzula narrow,14.3,4,2,"NA",0.077,0.026,0.208,0.21,0.202,2.8141,2
GLH3379,2019,2019-04-16T00:00:00Z,April,WAY,B,5,Eriosorus cheilanthoides,24,5,1,"NA",0.342,0.097,0.258,0.342,0.369,10.5226,1
GLI6739,2019,2019-04-17T00:00:00Z,April,PIL,B,2,Luzula narrow,15,3,2,"NA",0.059,0.025,0.263,0.199,0.232,2.7441,2
GLJ7782,2019,2019-04-17T00:00:00Z,April,PIL,B,2,Luzula narrow,11,5,3,"NA",0.059,0.018,0.257,0.269,0.238,2.3226,3
GLK2175,2019,2019-04-20T00:00:00Z,April,QUE,C,5,Muehlenbeckia volcanica,5,5,5,"NA",0.1,0.021,0.43,0.352,0.277,2.492,5
GLM1683,2019,2019-04-16T00:00:00Z,April,WAY,B,4,Pterichis sp1,13.5,1,1,"NA",0.313,0.039,0.42,0.49,0.439,7.8593,1
GLN9065,2019,2019-04-16T00:00:00Z,April,WAY,B,5,Eriosorus cheilanthoides,50,3,1,"NA",0.588,0.219,0.503,0.604,0.495,15.0686,1
GLO8863,2019,2019-04-16T00:00:00Z,April,WAY,B,4,Pterichis sp1,6.5,2,1,"NA",0.118,0.018,0.329,0.381,0.38,3.1082,1
GLP4665,2019,2019-04-16T00:00:00Z,April,WAY,B,5,Eriosorus cheilanthoides,33,2,1,"NA",0.66,0.2,0.531,0.605,0.524,13.0464,1
GLQ4414,2019,2019-04-16T00:00:00Z,April,WAY,B,4,Pterichis sp1,7.5,3,1,"NA",0.229,0.035,0.513,0.577,0.517,5.0857,1
GLR4739,2019,2019-04-16T00:00:00Z,April,WAY,B,5,Eriosorus cheilanthoides,47,1,1,"NA",0.994,0.306,0.574,0.537,0.526,20.9891,1
GLT3504,2019,2019-04-19T00:00:00Z,April,TRE,B,3,Not stipa,37,2,1,"NA",0.092,0.057,0.384,0.381,0.382,2.8711,1
GLU0742,2019,2019-04-16T00:00:00Z,April,WAY,C,4,Oreobolus mediano,5,1,5,"NA",0.06,0.024,0.244,0.237,0.261,2.1444,5
GLV1559,2019,2019-04-16T00:00:00Z,April,WAY,C,4,Oreobolus mediano,5,3,5,"NA",0.062,0.018,0.283,0.287,0.25,1.9353,5
GLW1896,2019,2019-04-16T00:00:00Z,April,WAY,C,4,Carex duro,5.5,3,5,"NA",0.043,0.018,0.183,0.145,0.168,1.6793,5
GLX2218,2019,2019-04-16T00:00:00Z,April,WAY,C,4,Carex duro,5.7,4,5,"NA",0.048,0.019,0.222,0.283,0.332,1.6431,5
GLY2887,2019,2019-04-16T00:00:00Z,April,WAY,C,4,Carex duro,5.5,5,5,"NA",0.049,0.014,0.332,0.396,0.378,1.5716,5
GMA8695,2019,2019-04-16T00:00:00Z,April,WAY,B,4,Eriosorus cheilanthoides,33.3,2,1,"NA",0.386,0.126,0.497,0.323,0.482,11.7599,1
GMB0854,2019,2019-04-16T00:00:00Z,April,WAY,B,4,Eriosorus cheilanthoides,27,3,1,"NA",0.39,0.133,0.286,0.328,0.37,10.9239,1
GMC3909,2019,2019-04-16T00:00:00Z,April,WAY,B,4,Eriosorus cheilanthoides,25.3,1,1,"NA",0.294,0.089,0.521,0.502,0.52,8.6726,1
GMD0482,2019,2019-04-16T00:00:00Z,April,WAY,C,4,Oreobolus mediano,4,5,5,"NA",0.046,0.02,0.222,0.246,0.237,1.7799,5
GME0571,2019,2019-04-16T00:00:00Z,April,WAY,C,4,Oreobolus mediano,4,4,5,"NA",0.048,0.019,0.268,0.234,0.252,1.8037,5
GMF0743,2019,2019-04-16T00:00:00Z,April,WAY,C,4,Oreobolus mediano,8,2,5,"NA",0.082,0.036,0.259,0.256,0.274,3.6672,5
GOE7032,2019,2019-04-14T00:00:00Z,April,WAY,C,4,Carex duro,5.5,2,5,"NA",0.055,0.023,0.189,0.241,0.198,1.831,5
GOF3863,2019,2019-04-16T00:00:00Z,April,WAY,B,3,Pterichis sp1,9.5,3,1,"NA",0.262,0.04,0.56,0.569,0.551,5.7725,1
GOG5358,2019,2019-04-15T00:00:00Z,April,WAY,B,4,Eriosorus cheilanthoides,25.3,5,1,"NA",0.387,0.112,0.134,0.331,0.209,12.4953,1
GOH7236,2019,2019-04-16T00:00:00Z,April,WAY,C,4,Carex duro,7,1,5,"NA",0.072,0.027,0.348,0.405,0.434,2.2859,5
GOI1789,2019,2019-04-16T00:00:00Z,April,WAY,B,4,Eriosorus cheilanthoides,16,4,1,"NA",0.099,0.04,0.302,0.214,0.275,4.5733,1
GOJ3979,2019,2019-04-19T00:00:00Z,April,TRE,B,3,Not stipa,45,1,1,"NA",0.086,0.025,0.347,0.371,0.342,1.9462,1
GOL3257,2019,2019-04-16T00:00:00Z,April,WAY,B,3,Paspalum bonplandianum,16,5,1,"NA",0.228,0.054,0.171,0.205,0.2,9.7929,1
GOM0890,2019,2019-04-20T00:00:00Z,April,QUE,C,5,Antennaria linearifolia,4,1,3,"NA",0.09,0.035,0.326,0.366,0.342,4.2542,3
GON7514,2019,2019-04-19T00:00:00Z,April,WAY,B,3,Pterichis sp1,14,1,2,"NA",0.38,0.054,0.526,0.541,0.539,8.0408,1
GOO4799,2019,2019-04-20T00:00:00Z,April,QUE,C,1,Gentiana sedifolia,3.5,2,NA,Bulk,0.037,0.015,0.196,0.282,0.276,1.5386,19
GOP7421,2019,2019-04-16T00:00:00Z,April,WAY,B,3,Pterichis sp1,16,2,1,"NA",0.258,0.042,0.496,0.502,0.437,7.7281,1
GOQ6311,2019,2019-04-16T00:00:00Z,April,WAY,B,3,Paspalum bonplandianum,17,4,1,"NA",0.25,0.055,0.16,0.184,0.174,10.0623,1
GOS6329,2019,2019-04-18T00:00:00Z,April,TRE,B,2,Carex ecuadorica,8.5,5,1,"NA",0.015,0.007,0.139,0.115,0.119,1.1377,1
GOT7922,2019,2019-04-18T00:00:00Z,April,TRE,B,3,Agrostis sp2,10,5,5,"NA",0.02,0.015,0.119,0.162,0.122,2.3339,5
GOU2015,2019,2019-04-18T00:00:00Z,April,TRE,B,2,Carex ecuadorica,18,4,1,"NA",0.039,0.016,0.145,0.159,0.149,2.3148,1
GOV7565,2019,2019-04-20T00:00:00Z,April,QUE,C,1,Gentiana sedifolia,6,3,NA,Bulk,0.035,0.01,0.221,0.193,0.253,1.4783,17
GOW4631,2019,2019-04-18T00:00:00Z,April,TRE,B,2,Carex ecuadorica,19,3,1,"NA",0.065,0.028,0.198,0.15,0.183,3.3067,1
GOX2649,2019,2019-04-18T00:00:00Z,April,TRE,B,2,Carex ecuadorica,17,2,2,"NA",0.034,0.018,0.12,0.157,0.158,2.7339,1
GOZ1461,2019,2019-04-19T00:00:00Z,April,TRE,B,2,Vaccinium floribundum,3,2,5,"NA",0.081,0.021,0.296,0.251,0.288,2.3951,5
GPA7281,2019,2019-04-19T00:00:00Z,April,TRE,B,2,Vaccinium floribundum,4,4,5,"NA",0.084,0.038,0.471,0.467,0.493,2.4145,5
GPD7437,2019,2019-04-19T00:00:00Z,April,TRE,B,3,Carex tristicha,6,4,2,"NA",0.057,0.028,0.189,0.147,0.171,2.7429,2
GPC8153,2019,2019-04-19T00:00:00Z,April,TRE,B,2,Vaccinium floribundum,5,5,5,"NA",0.127,0.046,0.27,0.264,0.291,4.1619,5
GYW6328,2019,2019-04-19T00:00:00Z,April,TRE,B,3,Carex tristicha,6,1,3,"NA",0.071,0.033,0.191,0.19,0.262,4.3652,3
GPE4434,2019,2019-04-19T00:00:00Z,April,TRE,B,2,Vaccinium floribundum,3,1,5,"NA",0.146,0.059,0.422,0.462,0.492,4.3739,5
GPG6365,2019,2019-04-18T00:00:00Z,April,TRE,B,3,Antennaria linearifolia,30,4,5,"NA",0.102,0.038,0.201,0.188,0.241,4.4733,5
GPH6389,2019,2019-04-18T00:00:00Z,April,TRE,B,3,Antennaria linearifolia,3,2,5,"NA",0.022,0.007,0.134,0.129,0.104,1.6632,5
GPI1580,2019,2019-04-19T00:00:00Z,April,TRE,B,5,Rhynchospora macrochaeta,20,3,1,"NA",0.208,0.093,0.296,0.295,0.302,8.1933,1
GPJ6315,2019,2019-04-18T00:00:00Z,April,TRE,B,3,Antennaria linearifolia,3.5,3,5,"NA",0.113,0.04,0.286,0.319,0.265,5.7196,5
GPK6009,2019,2019-04-18T00:00:00Z,April,TRE,B,2,Vaccinium floribundum,42,3,5,"NA",0.106,0.041,0.415,0.356,0.496,3.1348,5
GPL0365,2019,2019-04-18T00:00:00Z,April,TRE,B,5,Rhynchospora macrochaeta,21,2,1,"NA",0.265,0.119,0.289,0.29,0.302,7.8603,1
GPN6490,2019,2019-04-18T00:00:00Z,April,TRE,B,5,Luzula wide,12,4,2,"NA",0.17,0.07,0.265,0.251,0.246,3.1616,2
GPO0263,2019,2019-04-18T00:00:00Z,April,TRE,B,5,Luzula wide,8,1,2,"NA",0.108,0.043,0.208,0.221,0.184,2.21,2
GPP6869,2019,2019-04-18T00:00:00Z,April,TRE,B,5,Luzula wide,10,5,1,"NA",0.094,0.031,0.177,0.173,0.188,2.0672,1
GPQ3854,2019,2019-04-18T00:00:00Z,April,TRE,B,5,Luzula wide,13,2,1,"NA",0.139,0.053,0.258,0.25,0.254,2.6495,1
GPR4517,2019,2019-04-18T00:00:00Z,April,TRE,B,3,Antennaria linearifolia,0.7,1,5,"NA",0.028,0.012,0.171,0.142,0.187,2.2539,5
GPS4467,2019,2019-04-18T00:00:00Z,April,TRE,B,5,Luzula wide,10,3,2,"NA",0.171,0.075,0.227,0.233,0.221,3.5292,2
GPU6442,2019,2019-04-19T00:00:00Z,April,TRE,B,3,Not stipa,46,5,1,"NA",0.121,0.06,0.394,0.401,0.419,2.6845,1
GPV6859,2019,2019-04-19T00:00:00Z,April,TRE,B,4,Festuca blue,50,3,1,"NA",0.208,0.084,0.303,0.34,0.365,8.9786,1
GPW1656,2019,2019-04-19T00:00:00Z,April,TRE,B,4,Festuca blue,43,1,1,"NA",0.141,0.051,0.316,0.312,0.302,5.0792,1
GPX4422,2019,2019-04-19T00:00:00Z,April,TRE,B,4,Festuca blue,42,4,1,"NA",0.204,0.082,0.382,0.398,0.329,7.1863,1
GPY5650,2019,2019-04-19T00:00:00Z,April,TRE,B,4,Festuca blue,41,2,1,"NA",0.223,0.112,0.423,0.407,0.436,8.1026,1
GPZ3111,2019,2019-04-19T00:00:00Z,April,TRE,B,4,Festuca blue,38,5,1,"NA",2.232,0.11,0.396,0.387,0.418,7.7545,1
GQB5611,2019,2019-04-18T00:00:00Z,April,TRE,B,3,Aphanactis sp1,30,4,5,"NA",0.216,0.046,0.256,0.283,0.268,10.0105,5
GQC3825,2019,2019-04-18T00:00:00Z,April,TRE,B,3,Aphanactis sp1,1.5,1,5,"NA",0.105,0.022,0.155,0.126,0.139,4.3439,5
GQD8509,2019,2019-04-18T00:00:00Z,April,TRE,B,3,Aphanactis sp1,30,5,5,"NA",0.095,0.024,0.241,0.237,0.23,5.591,5
GQE5393,2019,2019-04-18T00:00:00Z,April,TRE,B,3,Aphanactis sp1,2,2,5,"NA",0.116,0.033,0.165,0.161,0.145,5.1461,5
GQF2232,2019,2019-04-18T00:00:00Z,April,TRE,B,2,Nertera granadensis,0.4,1,NA,Bulk,0.087,0.015,0.115,0.113,0.167,4.009,49
GQG8763,2019,2019-04-18T00:00:00Z,April,TRE,B,3,Aphanactis sp1,2,3,5,"NA",0.12,0.033,0.142,0.106,0.154,6.1556,5
GQI4586,2019,2019-04-18T00:00:00Z,April,TRE,B,2,Luzula wide,11,1,2,"NA",0.078,0.031,0.197,0.202,0.162,2.68,2
GQJ8165,2019,2019-04-18T00:00:00Z,April,TRE,B,3,Antennaria linearifolia,1.5,5,5,"NA",0.033,0.013,0.137,0.132,0.145,2.1601,5
GQK6175,2019,2019-04-18T00:00:00Z,April,TRE,B,2,Luzula wide,10,2,2,"NA",0.063,0.023,0.163,0.142,0.142,2.1844,2
GQL3131,2019,2019-04-18T00:00:00Z,April,TRE,B,2,Luzula wide,16,3,2,"NA",0.044,0.018,0.106,0.147,0.181,1.4257,2
GQM4870,2019,2019-04-18T00:00:00Z,April,TRE,B,2,Luzula wide,11,4,2,"NA",0.127,0.041,0.204,0.161,0.209,3.9097,2
GQN5438,2019,2019-04-18T00:00:00Z,April,TRE,B,2,Luzula wide,9,5,2,"NA",0.067,0.023,0.133,0.153,0.154,1.9572,2
GQP4403,2019,2019-04-17T00:00:00Z,April,PIL,B,1,Rhynchospora macrochaeta,40,4,1,"NA",0.455,0.171,0.333,0.354,0.344,13.2584,1
GQQ7070,2019,2019-04-17T00:00:00Z,April,PIL,B,1,Carex pichinchensis,16,1,2,"NA",0.157,0.053,0.1889,0.184,0.163,7.1369,2
GQR6684,2019,2019-04-17T00:00:00Z,April,PIL,B,1,Rhynchospora macrochaeta,28,3,1,"NA",0.159,0.062,0.243,0.255,0.268,6.1378,1
GQS0749,2019,2019-04-17T00:00:00Z,April,PIL,B,1,Rhynchospora macrochaeta,35.5,5,1,"NA",0.369,0.153,0.305,0.282,0.285,12.1986,1
GQT9343,2019,2019-04-17T00:00:00Z,April,PIL,B,1,Rhynchospora macrochaeta,28,2,1,"NA",0.283,0.109,0.309,0.31,0.299,9.239,1
GQU2140,2019,2019-04-17T00:00:00Z,April,PIL,B,1,Rhynchospora macrochaeta,30,1,1,"NA",0.399,0.157,0.321,0.318,0.304,12.8672,1
GQW4523,2019,2019-04-17T00:00:00Z,April,PIL,B,5,Oreobolus sp1,2.5,2,NA,Bulk,0.031,0.012,0.193,0.18,0.22,1.7269,16
GQX9461,2019,2019-04-17T00:00:00Z,April,PIL,B,5,Oreobolus sp1,2.5,1,NA,Bulk,0.037,0.012,0.155,0.158,0.206,1.6926,19
GQY4114,2019,2019-04-17T00:00:00Z,April,PIL,B,1,Carex pichinchensis,31,4,1,"NA",0.242,0.091,0.174,0.192,0.165,10.9469,1
GQZ1171,2019,2019-04-17T00:00:00Z,April,PIL,B,1,Rhynchospora macrochaeta,21,3,1,"NA",0.153,0.061,0.196,0.169,0.185,6.5573,1
GRA4917,2019,2019-04-17T00:00:00Z,April,PIL,B,1,Carex pichinchensis,24.5,3,1,"NA",0.17,0.067,0.192,0.212,0.189,7.6062,1
GRB7361,2019,2019-04-17T00:00:00Z,April,PIL,B,1,Carex pichinchensis,18,2,1,"NA",0.102,0.039,0.268,0.273,0.247,4.501,1
GRD2765,2019,2019-04-17T00:00:00Z,April,PIL,B,5,Gentiana sedifolia,7,1,NA,Bulk,0.038,0.01,0.278,0.232,0.237,1.9283,24
GRE2952,2019,2019-04-17T00:00:00Z,April,PIL,B,5,Gentiana sedifolia,6,3,NA,Bulk,0.072,0.02,0.295,0.256,0.308,3.6555,53
GRF3889,2019,2019-04-17T00:00:00Z,April,PIL,B,5,Oreobolus sp1,2,5,NA,Bulk,0.044,0.013,0.191,0.188,0.198,2.0171,17
GRG3374,2019,2019-04-17T00:00:00Z,April,PIL,B,5,Gentiana sedifolia,4.5,2,NA,Bulk,0.043,0.014,0.241,0.27,0.289,2.171,26
GRH6005,2019,2019-04-17T00:00:00Z,April,PIL,B,5,Oreobolus sp1,2.5,4,NA,Bulk,0.042,0.014,0.192,0.214,0.186,1.7686,15
GRI3259,2019,2019-04-17T00:00:00Z,April,PIL,B,5,Oreobolus sp1,2,3,NA,Bulk,0.027,0.011,0.022,0.19,0.219,1.3684,12
GRK1274,2019,2019-04-17T00:00:00Z,April,PIL,B,2,Carex pichinchensis,52,2,1,"NA",0.197,0.06,0.151,0.155,0.161,8.3901,1
GRL0117,2019,2019-04-17T00:00:00Z,April,PIL,B,5,Vaccinium floribundum,12,1,5,"NA",0.05,0.025,0.318,0.246,0.33,1.8136,6
GRM4385,2019,2019-04-17T00:00:00Z,April,PIL,B,2,Carex pichinchensis,32,1,1,"NA",0.211,0.158,0.158,0.164,0.158,9.6877,1
GRN2431,2019,2019-04-17T00:00:00Z,April,PIL,B,2,Carex pichinchensis,32,3,1,"NA",0.239,0.086,0.19,0.204,0.187,10.8547,1
GRO4506,2019,2019-04-17T00:00:00Z,April,PIL,B,5,Gentiana sedifolia,5,5,NA,Bulk,0.104,0.025,0.124,0.17,0.163,4.3231,53
GRP2664,2019,2019-04-17T00:00:00Z,April,PIL,B,5,Gentiana sedifolia,4,4,NA,Bulk,0.067,0.018,0.235,0.226,0.216,3.0604,51
GRR0171,2019,2019-04-17T00:00:00Z,April,PIL,B,5,Vaccinium floribundum,45,5,6,"NA",0.116,0.05,0.424,0.446,0.428,2.8508,6
GRS9821,2019,2019-04-17T00:00:00Z,April,PIL,B,2,Luzula narrow,22,2,2,"NA",0.119,0.041,0.552,0.495,0.542,3.8776,2
GRT1154,2019,2019-04-17T00:00:00Z,April,PIL,B,5,Vaccinium floribundum,9,4,6,"NA",0.057,0.031,0.35,0.353,0.322,1.8244,6
GRU2298,2019,2019-04-17T00:00:00Z,April,PIL,B,2,Luzula narrow,24,1,2,"NA",0.116,0.045,0.2,0.17,0.235,5.8493,2
GRV3216,2019,2019-04-17T00:00:00Z,April,PIL,B,5,Vaccinium floribundum,12,2,6,"NA",0.069,0.029,0.497,0.432,0.501,1.8998,6
GRW0333,2019,2019-04-17T00:00:00Z,April,PIL,B,5,Vaccinium floribundum,10,3,6,"NA",0.066,0.029,0.457,0.467,0.419,2.0387,6
GVH0734,2019,2019-04-10T00:00:00Z,April,TRE,C,3,Hypochaeris taraxacoides,5,1,2,"NA",0.261,0.042,0.244,0.246,0.281,6.6144,2
GVM6900,2019,2019-04-10T00:00:00Z,April,TRE,C,3,Hypochaeris taraxacoides,4,2,3,"NA",0.29,0.039,0.206,0.204,0.22,7.3982,3
GVZ5158,2019,2019-04-10T00:00:00Z,April,TRE,C,2,Baccharis genistelloides,35,4,4,"NA",0.057,0.034,0.182,0.18,0.197,3.0585,4
GWA8952,2019,2019-04-10T00:00:00Z,April,TRE,C,2,Baccharis genistelloides,20,2,3,"NA",0.06,0.045,0.201,0.219,0.208,3.7519,3
GWB7433,2019,2019-04-10T00:00:00Z,April,TRE,C,2,Baccharis genistelloides,13,3,3,"NA",0.069,0.038,0.214,0.211,0.185,5.0879,3
GWD5149,2019,2019-04-10T00:00:00Z,April,TRE,C,2,Baccharis genistelloides,39,1,3,"NA",0.057,0.041,0.195,0.182,0.188,4.2115,3
GWG2739,2019,2019-04-10T00:00:00Z,April,TRE,C,1,Lycopodium clavatum,11,3,NA,Bulk,0.03,0.029,0.067,0.028,0.03,4.0651,NA
GWH5095,2019,2019-04-10T00:00:00Z,April,TRE,C,1,Baccharis caespitosa,11,1,NA,Bulk,0.045,0.015,0.209,0.168,0.204,2.2272,21
GWI1631,2019,2019-04-10T00:00:00Z,April,TRE,C,1,Baccharis caespitosa,7,2,NA,Bulk,0.057,0.022,0.218,0.236,0.236,2.7936,15
GWJ2218,2019,2019-04-10T00:00:00Z,April,TRE,C,1,Baccharis caespitosa,7,3,NA,Bulk,0.035,0.025,0.209,0.188,0.174,2.0765,22
GWK0733,2019,2019-04-10T00:00:00Z,April,TRE,C,1,Lycopodium clavatum,6,4,NA,Bulk,0.073,0.042,0.081,0.12,0.154,7.0682,NA
GWL5756,2019,2019-04-10T00:00:00Z,April,TRE,C,1,Baccharis caespitosa,10,4,NA,Bulk,0.032,0.016,0.134,0.166,0.148,2.4887,23
GXI6842,2019,2019-04-16T00:00:00Z,April,WAY,B,1,Myrsine,23,1,1,"NA",0.203,0.071,0.229,0.245,0.247,7.7476,1
GXJ7513,2019,2019-04-16T00:00:00Z,April,WAY,B,1,Myrsine,46,2,2,"NA",0.541,0.17,0.292,0.307,0.289,17.111,2
GXK2576,2019,2019-04-16T00:00:00Z,April,WAY,B,1,Myrsine,43,4,1,"NA",0.491,0.176,0.327,0.328,0.336,14.1489,1
GXL3091,2019,2019-04-16T00:00:00Z,April,WAY,B,1,Myrsine,48,3,2,"NA",0.321,0.135,0.266,0.27,0.283,10.4788,2
