id,year,date,month,site,treatment,plot_id,taxon,plant_height_cm,individual_nr,nr_leaves,bulk,wet_mass_total_g,dry_mass_total_g,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,leaf_area_total_cm2,number_leaves_scan
IYC7089,2019,2019-11-22T00:00:00Z,November,QUE,C,3,Baccharis caespitosa,2.5,2,NA,Bulk,0.212,0.109,0.429,0.467,0.435,7.8418,83
IYD7533,2019,2019-11-22T00:00:00Z,November,QUE,C,3,Lisipomia glanduliera,1,3,NA,Bulk,0.019,0.006,0.179,0.186,0.185,1.5761,23
IYE4310,2019,2019-11-22T00:00:00Z,November,QUE,C,3,Carex tristicha,5.5,2,3,"NA",0.054,0.04,0.174,0.174,0.189,4.0345,3
IYF5044,2019,2019-11-22T00:00:00Z,November,QUE,C,3,Carex tristicha,6,3,3,"NA",0.059,0.042,0.195,0.177,0.175,5.015,5
IYG1733,2019,2019-11-22T00:00:00Z,November,QUE,C,3,Aphanactis sp1,1.5,3,5,"NA",0.037,0.015,0.284,0.245,0.234,2.1154,5
IYH2859,2019,2019-11-22T00:00:00Z,November,QUE,C,3,Carex duro,4,3,10,"NA",0.084,0.044,0.565,0.617,0.701,2.8823,10
IYI7147,2019,2019-11-22T00:00:00Z,November,QUE,C,3,Baccharis caespitosa,2,1,NA,Bulk,0.204,0.11,0.323,0.363,0.338,8.0933,96
IYJ4830,2019,2019-11-22T00:00:00Z,November,QUE,C,1,Hypericum andinum,4,2,NA,Bulk,0.102,0.037,0.127,0.191,0.108,5.5227,NA
IYK0827,2019,2019-11-24T00:00:00Z,November,TRE,B,3,Agrostis sp2,5.2,1,6,"NA",0.021,0.014,0.181,0.245,0.236,1.6622,6
IYL6529,2019,2019-11-23T00:00:00Z,November,ACJ,NB,5,Gaultheria glomerata,8,3,3,"NA",0.217,0.12,0.496,0.547,0.445,5.629,3
IYM9602,2019,2019-11-23T00:00:00Z,November,ACJ,NB,3,Jamesonia alstonii,23,1,1,"NA",0.329,0.154,0.34,0.39,0.339,7.1287,1
IYN3828,2019,2019-11-22T00:00:00Z,November,QUE,C,1,Paspalum bonplandianum,6,1,3,"NA",0.132,0.042,0.162,0.131,0.132,6.6409,3
IYO0386,2019,2019-11-24T00:00:00Z,November,TRE,B,5,Alchemilla sectada,3,2,4,"NA",0.019,0.01,0.212,0.25,0.226,1.4901,4
IYP3540,2019,2019-11-22T00:00:00Z,November,QUE,C,1,Carex pichinchensis,10.2,2,1,"NA",0.125,0.061,0.27,0.299,0.214,5.6811,1
IYQ6374,2019,2019-11-24T00:00:00Z,November,TRE,B,3,Luzula narrow,12.5,3,2,"NA",0.16,0.071,0.306,0.359,0.3,5.462,2
IYR4023,2019,2019-11-23T00:00:00Z,November,ACJ,NB,5,Gaultheria glomerata,5,2,2,"NA",0.223,0.107,0.52,0.501,0.516,6.0712,2
IYS1738,2019,2019-11-24T00:00:00Z,November,TRE,B,3,Rhynchospora macrochaeta,22,2,1,"NA",0.165,0.077,0.224,0.265,0.257,6.7885,1
IYT5240,2019,2019-11-23T00:00:00Z,November,ACJ,NB,5,Jamesonia alstonii,20.5,2,1,"NA",0.214,0.091,0.315,0.341,0.258,4.2746,1
IYU4155,2019,2019-11-23T00:00:00Z,November,ACJ,NB,1,Jamesonia alstonii,21.5,2,1,"NA",0.252,0.111,0.272,0.213,0.28,4.792,1
IYV3430,2019,2019-11-22T00:00:00Z,November,QUE,C,1,Carex pichinchensis,13,3,1,"NA",0.215,0.096,0.255,0.213,0.221,9.1128,1
IYW1418,2019,2019-11-23T00:00:00Z,November,ACJ,NB,3,Hieracium sp1,14,2,1,"NA",0.597,0.106,0.36,0.405,0.393,13.2872,1
IYX0524,2019,2019-11-23T00:00:00Z,November,ACJ,NB,5,Gaultheria glomerata,7,1,3,"NA",0.229,0.123,0.59,0.612,0.501,5.309,3
IYY1759,2019,2019-11-22T00:00:00Z,November,QUE,C,1,Euphorbia thymifolia,2,2,10,"NA",0.107,0.041,0.335,0.36,0.345,4.0238,10
IYZ7370,2019,2019-11-23T00:00:00Z,November,ACJ,NB,5,Jamesonia alstonii,23,1,1,"NA",0.211,0.081,0.195,0.214,0.178,3.9639,1
