id,dry_weight_g,observations
ACR1445,0.0187,NA
ASV2088,0.019,NA
AUW5810,0.0175,NA
AUY8492,0.0158,NA
ACI4396,0.0243,NA
ADN2106,0.013,NA
ADO6855,0.0217,NA
AEX8835,0.0221,NA
ATL3676,0.0213,NA
AEU2525,0.015,NA
AET0501,0.0193,NA
AES2395,0.0142,NA
AER8281,0.0198,NA
AEQ0208,0.017,NA
AUJ3901,0.0554,NA
AUK0888,0.0489,NA
AEP3671,0.0339,NA
AUI4797,0.0543,NA
AEO9502,0.0583,NA
AVA2500,0.0433,NA
AUZ0851,0.0447,NA
ADY1845,0.0463,NA
AUA6916,0.0555,NA
AAE4190,0.0373,NA
ACM2087,0.0104,NA
ABS7148,0.012,NA
ASM0021,0.0186,NA
ABV7405,0.0193,NA
ABT4493,0.0203,NA
ABR6458,0.0157,NA
AEN1629,0.009,NA
AUQ9983,0.0039,NA
AEM7938,0.0081,NA
AUM3741,0.0066,NA
ABU2058,0.0099,NA
ASX0997,0.0078,NA
CYK1514,0.206,NA
CXU2070,0.1299,NA
CRV1812,0.0252,NA
CRQ1163,0.0298,NA
CQS2386,0.0243,NA
CXY1511,0.0182,NA
AGL3450,0.0279,NA
BNK5107,0.025,NA
ARZ0668,0.1253,NA
ARV9089,0.4883,NA
ARR9480,0.4425,NA
BOH6123,0.0303,NA
BOG2356,0.0349,NA
BOD5464,0.038,NA
CVR2026,0.08,NA
CVN2625,0.0479,NA
CVF3211,0.1778,NA
BMH7406,0.0573,NA
BMD6247,0.997,NA
BLZ3972,0.1392,NA
BMF3534,0.0894,NA
BMB2000,0.202,NA
BLX3749,0.1628,NA
CQO2978,0.394,NA
BNH7967,0.2464,NA
BMV1563,0.0186,NA
AGB4420,0.0419,NA
AFX3336,0.0348,NA
CZB5318,0.2296,NA
CYB2002,0.0866,NA
CXV4926,0.191,NA
CQL2372,0.1125,NA
BOL1686,0.1227,NA
BMW5924,0.2163,NA
BPH5175,0.147,NA
BQD3209,0.223,NA
BPY2174,0.122,NA
ASL0566,0.0145,NA
ARF3252,0.0303,NA
ARJ0812,0.0388,NA
BYL3650,0.056,NA
