id,day,site,elevation,genus,species,project,experiment,plot_id,individual_nr,leaf_nr,plant_height_cm,plant_length_cm,bulk_nr_leaves,length_cm,wet_mass_g,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,remark,notes1,notes2
ADO6855,12,ACJ,NA,Paspalum,bonplandianum,T,C,5,1,4,18,NA,NA,NA,0.059,0.08,0.084,0.081,NA,NA,NA
ABZ5836,12,ACJ,NA,Paspalum,bonplandianum,T,C,3,1,4,11.7,16,NA,NA,0.082,0.083,0.094,0.111,NA,NA,NA
ACG5039,12,ACJ,NA,Paspalum,bonplandianum,T,C,4,3,5,17,18,NA,NA,0.098,0.084,0.113,0.103,NA,NA,NA
BHK5486,12,ACJ,NA,Gaultheria,glomerata,T,C,3,3,3,17.8,NA,NA,NA,0.314,0.587,0.59,0.548,NA,NA,NA
BHS1020,12,ACJ,NA,Gaultheria,glomerata,T,C,3,3,2,17.8,NA,NA,NA,0.326,0.516,0.523,0.533,NA,NA,NA
BEI1150,12,ACJ,NA,Gaultheria,glomerata,T,C,5,2,4,15,NA,NA,NA,0.27,0.509,0.504,0.508,NA,NA,NA
BFJ2981,12,ACJ,NA,Gaultheria,glomerata,T,C,5,2,3,15,NA,NA,NA,0.239,0.711,0.545,0.538,NA,NA,NA
AHY2796,12,ACJ,NA,Lachemilla,orbiculata,T,C,1,1,4,9,NA,NA,NA,0.086,0.246,0.243,0.235,NA,NA,NA
BGL1606,12,ACJ,NA,Gaultheria,glomerata,T,C,1,1,1,14.4,NA,NA,NA,0.231,0.544,0.536,0.536,NA,NA,NA
BGP2526,12,ACJ,NA,Gaultheria,glomerata,T,C,1,1,2,14.4,NA,NA,NA,0.193,0.475,0.475,0.475,NA,NA,NA
BFN1445,12,ACJ,NA,Gaultheria,glomerata,T,C,1,1,4,14.4,NA,NA,NA,0.252,0.514,0.529,0.53,NA,NA,NA
BFR1435,12,ACJ,NA,Gaultheria,glomerata,T,C,1,1,5,14.4,NA,NA,NA,0.228,0.561,0.543,0.552,NA,NA,NA
BJD7505,12,ACJ,NA,Gaultheria,glomerata,T,C,5,2,2,15.6,NA,NA,NA,0.285,0.524,0.525,0.524,NA,NA,NA
AHW9145,12,ACJ,NA,Lachemilla,umbellata,T,C,1,1,2,9,NA,NA,NA,0.09,0.209,0.223,0.201,NA,NA,NA
AHX3240,12,ACJ,NA,Lachemilla,orbiculata,T,C,1,1,3,9,NA,NA,NA,0.066,0.222,0.213,0.215,NA,NA,NA
BHG7419,12,ACJ,NA,Gaultheria,glomerata,T,C,5,1,2,12,NA,NA,NA,0.336,0.572,0.56,0.594,NA,NA,NA
BHT4930,12,ACJ,NA,Gaultheria,glomerata,T,C,5,1,1,12,NA,NA,NA,0.273,0.554,0.57,0.571,NA,NA,NA
AID0930,12,ACJ,NA,Lachemilla,orbiculata,T,C,1,1,1,9,NA,NA,NA,0.061,0.246,0.223,0.239,NA,NA,NA
BHL9697,12,ACJ,NA,Gaultheria,glomerata,T,C,5,1,4,12,NA,NA,NA,0.212,0.529,0.516,0.55,NA,NA,NA
AFA0140,12,ACJ,NA,Paspalum,bonplandianum,T,C,3,3,3,14,NA,NA,NA,0.03,0.099,0.092,0.092,NA,NA,NA
BIB0398,12,ACJ,NA,Gaultheria,glomerata,T,C,3,3,1,17.8,NA,NA,NA,0.368,0.554,0.548,0.524,NA,NA,NA
BFM4142,12,ACJ,NA,Gaultheria,glomerata,T,C,1,1,3,14.4,NA,NA,NA,0.215,0.61,0.556,0.574,NA,NA,NA
BHH3084,12,ACJ,NA,Gaultheria,glomerata,T,C,5,1,3,12,NA,NA,NA,0.288,0.529,0.525,0.561,NA,NA,NA
BDU0230,12,ACJ,NA,Gaultheria,glomerata,T,C,2,1,2,15.6,NA,NA,NA,0.166,0.489,0.476,0.501,NA,NA,NA
BHV0771,12,ACJ,NA,Gaultheria,glomerata,T,C,2,1,1,15.6,NA,NA,NA,0.211,0.501,0.517,0.484,NA,NA,NA
BHP2121,12,ACJ,NA,Gaultheria,glomerata,T,C,5,1,5,12,NA,NA,NA,0.287,0.541,0.573,0.607,NA,NA,NA
ATG4892,12,ACJ,NA,Halenia,umbellata,T,C,4,2,2,9.5,NA,NA,NA,0.07,0.243,0.25,0.236,NA,NA,NA
