month,site,treatment,plot_id,functional_group,family,taxon,name_2020,notes
April,ACJ,C,1,Forb,Rubiaceae,Nertera granadensis,Nertera granadensis,NA
April,QUE,C,5,Forb,Rubiaceae,Galium corymbosum,Galium corymbosum,NA
April,QUE,C,3,Forb,Euphobiaceae,Euphorbia thymifolia,Euphorbia huanchahana,NA
April,WAY,B,5,Forb,Asteraceae,Senecio pegajoso,Senecio burkartii,NA
April,WAY,B,2,Forb,Orchidaceae,Gomphichis sp1,Gomphichis valida,NA
April,WAY,B,2,Gramminoid,Cyperaceae,Carex pedunculado largo,Carex cf. crinalis,NA
April,WAY,B,1,Forb,Asteraceae,Gnaphalium dombeyanum,Gnaphalium dombeyanum,NA
April,WAY,B,3,Gramminoid,Cyperaceae,Carex ecuadorica,Carex bonplandii,NA
April,WAY,B,5,Woody,Ericaceae,Vaccinium floribundum,Vaccinium floribundum,NA
April,WAY,B,3,Forb,Gentianaceae,Halenia umbellata,Halenia umbellata,NA
April,WAY,B,3,Forb,Asteraceae,Hieracium sp1,Hieracium cf. mandonii,NA
April,WAY,B,4,Forb,Asteraceae,Senecio pegajoso,Senecio burkartii,NA
April,WAY,B,4,Gramminoid,Cyperaceae,Carex pedunculado largo,Carex cf. crinalis,NA
April,WAY,B,5,Forb,Orchidaceae,Pterichis sp1,Pterichis sp1,NA
April,WAY,B,1,Forb,Orchidaceae,Pterichis sp1,Pterichis sp1,NA
April,TRE,B,1,Gramminoid,Cyperaceae,Carex ecuadorica,Carex bonplandii,NA
April,WAY,B,1,Forb,Orchidaceae,Cyrtochilum mystacinum,Cyrtochilum mystacinum,NA
April,WAY,B,3,Gramminoid,Cyperaceae,Carex pedunculado largo,Carex cf. crinalis,NA
April,WAY,B,1,Woody,Melastomataceae,Brachyotum pubescente,Brachyotum grisebachii,NA
April,WAY,C,1,Forb,Asteraceae,Hypochaeris taraxacoides,Hypochaeris taraxacoides,NA
April,WAY,C,2,Forb,Asteraceae,Stevia sp,Stevia pennellii,NA
April,WAY,C,4,Forb,Rubiaceae,Nertera granadensis,Nertera granadensis,NA
April,WAY,C,2,Forb,Asteraceae,Stevia cuzcoensis,Stevia pennellii,NA
April,WAY,C,2,Forb,Asteraceae,Gnaphalium dombeyanum,Gnaphalium dombeyanum,NA
April,WAY,C,5,Forb,Orchidaceae,Pterichis sp1,Pterichis sp1,NA
April,WAY,C,4,Fern,Pteridaceae,Eriosorus cheilanthoides,Eriosorus cheilanthoides,NA
April,WAY,C,4,Woody,Melastomataceae,Brachyotum pubescente,Brachyotum grisebachii,NA
April,WAY,C,5,Woody,Ericaceae,Gaultheria glomerata,Gaultheria glomerata,NA
April,WAY,C,1,Gramminoid,Cyperaceae,Carex pedunculado largo,Carex cf. crinalis,NA
April,WAY,B,5,Forb,Asteraceae,Gnaphalium dombeyanum,Gnaphalium dombeyanum,NA
April,TRE,B,3,Gramminoid,Cyperaceae,Carex tristicha,Carex pygmaea,NA
